Date&Time,Himidity,Temparature
2003-06-16 04:00:00,0.76,54.125
2003-06-17 04:00:00,0.71,64.06
2003-06-18 04:00:00,0.92,64.16
2003-06-19 04:00:00,0.85,67.155
2003-06-20 04:00:00,0.77,62.295
2003-06-21 04:00:00,0.81,62.01
2003-06-22 04:00:00,0.97,58.12
2003-06-23 04:00:00,0.91,64.36
2003-06-24 04:00:00,0.77,74.745
2003-06-25 04:00:00,0.68,81.665
2003-06-26 04:00:00,0.74,79.445
2003-06-27 04:00:00,0.75,78.21
2003-06-28 04:00:00,0.61,72.125
2003-06-29 04:00:00,0.71,73.51
2003-06-30 04:00:00,0.72,72.165
2003-07-01 04:00:00,0.66,69.86
2003-07-02 04:00:00,0.68,72.89
2003-07-03 04:00:00,0.75,73.49
2003-07-04 04:00:00,0.77,79.735
2003-07-05 04:00:00,0.69,82.06
2003-07-06 04:00:00,0.63,79.79
2003-07-07 04:00:00,0.75,75.24
2003-07-08 04:00:00,0.73,79.23
2003-07-09 04:00:00,0.76,67.905
2003-07-10 04:00:00,0.76,68.25
2003-07-11 04:00:00,0.95,62.56
2003-07-12 04:00:00,0.78,73.61
2003-07-13 04:00:00,0.7,72.535
2003-07-14 04:00:00,0.78,69.895
2003-07-15 04:00:00,0.82,69.2
2003-07-16 04:00:00,0.9,68.215
2003-07-17 04:00:00,0.75,72.44
2003-07-18 04:00:00,0.82,72.6
2003-07-19 04:00:00,0.82,69.07
2003-07-20 04:00:00,0.63,74.27
2003-07-21 04:00:00,0.74,76.925
2003-07-22 04:00:00,0.84,76.97
2003-07-23 04:00:00,0.88,75.035
2003-07-24 04:00:00,0.87,74.4
2003-07-25 04:00:00,0.71,73.88
2003-07-26 04:00:00,0.66,80.105
2003-07-27 04:00:00,0.68,77.335
2003-07-28 04:00:00,0.55,73.315
2003-07-29 04:00:00,0.68,69.955
2003-07-30 04:00:00,0.75,70.96
2003-07-31 04:00:00,0.78,68.585
2003-08-01 04:00:00,0.96,63.835
2003-08-02 04:00:00,0.95,68.585
2003-08-03 04:00:00,0.95,75.63
2003-08-04 04:00:00,0.95,74.98
2003-08-05 04:00:00,0.9,76.425
2003-08-06 04:00:00,0.81,76.305
2003-08-07 04:00:00,0.93,72.845
2003-08-08 04:00:00,0.95,73.31
2003-08-09 04:00:00,0.88,76.735
2003-08-10 04:00:00,0.84,78.53
2003-08-11 04:00:00,0.83,77.49
2003-08-12 04:00:00,0.94,71.75
2003-08-13 04:00:00,0.91,76.17
2003-08-14 04:00:00,0.76,76.6
2003-08-15 04:00:00,0.74,76.41
2003-08-16 04:00:00,0.74,77.56
2003-08-17 04:00:00,0.84,68.97
2003-08-18 04:00:00,0.84,68.435
2003-08-19 04:00:00,0.72,76.305
2003-08-20 04:00:00,0.7,78.515
2003-08-21 04:00:00,0.69,80.545
2003-08-22 04:00:00,0.81,77.99
2003-08-23 04:00:00,0.61,69.71
2003-08-24 04:00:00,0.43,66.825
2003-08-25 04:00:00,0.61,70.8
2003-08-26 04:00:00,0.77,71.47
2003-08-27 04:00:00,0.65,71.73
2003-08-28 04:00:00,0.57,66.295
2003-08-29 04:00:00,0.71,77.24
2003-08-30 04:00:00,0.76,68.215
2003-08-31 04:00:00,0.65,62.37
2003-09-01 04:00:00,0.81,63.38
2003-09-02 04:00:00,0.91,61.445
2003-09-03 04:00:00,0.83,64.795
2003-09-04 04:00:00,0.95,66.515
2003-09-05 04:00:00,0.81,65.655
2003-09-06 04:00:00,0.73,63.375
2003-09-07 04:00:00,0.69,71.13
2003-09-08 04:00:00,0.7,61.59
2003-09-09 04:00:00,0.67,57.225
2003-09-10 04:00:00,0.65,66.435
2003-09-11 04:00:00,0.71,65.095
2003-09-12 04:00:00,0.8,61.885
2003-09-13 04:00:00,0.83,68.535
2003-09-14 04:00:00,0.84,71.6
